"Column","AUC","DoublingTime"
"D1 Rep 1 Average",4.98093045570839,4.74603985421274
"D1 Rep2 Average",5.70757541311661,6.42895301383216
"D1 Rep3 Average",4.90013875858335,3.45740217895568
"AE2 Rep1 Average",4.38074988158336,4.35559430213506
"AE2 Rep2 Average",5.39901323091665,6.01543663601642
"AE2 Rep3 Average",4.4107777255834,3.56059589954158
"110 Rep1 Average",3.31521329173998,3.75216732089009
"110 Rep2 Average",4.84031832142875,4.75186888026558
"110 Rep3 Average",3.42446746683677,3.68572143850742
"111 Rep1 Average",3.66567996593997,3.35858744717561
"111 Rep2 Average",5.30455283162863,4.36929432112627
"111 Rep3 Average",4.03445074505355,3.30146210310135
"112 Rep1 Average",3.44527998028997,3.1447811307935
"112 Rep2 Average",5.53460593957797,3.3023427185861
"112 Rep3 Average",4.2679005012704,2.95635535241876
"CBS138 Rep1 Average",4.47883324945838,5.00979611772745
"CBS138 Rep2 Average",5.46544958194669,6.80691511644812
"CBS138 Rep3 Average",4.52749986858332,3.20621203827615
"BG2 Rep1 Average",5.1683887892917,4.77399150472692
"BG2 Rep2 Average",5.88946790303828,6.80737874808328
"BG2 Rep3 Average",5.6311942865,4.01572704234464
