"Column","AUC","DoublingTime"
"D1 Rep1 Average",17.8727497328749,2.40477564234743
"D1 Rep 2 Average",17.7181163739836,2.9642423300682
"AE2 Rep 1 Average",14.2536387459999,2.63386371194918
"AE2 Rep 2 Average",13.9456720949833,2.80274180953716
"110 Rep1 Average",13.5647246893913,3.16131632442679
"110 Rep2 Average",14.7594705829978,3.69750826367525
"110 Rep3 Average",15.4234571407737,3.10494355126991
"111 Rep1 Average",14.355534383538,2.82874126310668
"111 Rep2 Average",16.7915705857981,3.5422252662032
"111 Rep3 Average",16.8890577640731,3.17468039803859
"112 Rep1 Average",16.7683622296288,2.66576090005756
"112 Rep2 Average",19.0903038909981,3.45133949643044
"112 Rep3 Average",17.320157458507,3.07050754465938
"CBS138 Rep1 Average",15.3675276140002,2.69676551354661
"CBS138 Rep2 Average",14.8698943029831,2.30857217232845
"BG2 Rep1 Average",17.3005831472501,4.5787163333821
"BG2 Rep2 Average",18.460394161983,2.8412824423172
