"Column","AUC","DoublingTime"
"D1 Rep1 Average",4.35349993727769,3.91887469872186
"D1 Rep2 Average",4.92665547481673,3.51125924895586
"AE2 Rep1 Average",4.19652774594441,3.50154287029732
"AE2 Rep2 Average",4.15554441731666,3.2386952894062
"110 Rep1 Average",4.82843721005203,4.31547033447763
"110 Rep2 Average",3.83869192529603,4.19853256099305
"111 Rep1 Average",5.39627051405209,4.05451126059207
"111 Rep2 Average",5.23642519839609,4.17288929906188
"112 Rep1 Average",5.50427050095203,3.77624678787429
"112 Rep2 Average",4.92279192959604,4.184781217547
"CBS138 Rep1 Average",4.95783718415203,3.84141013732394
"CBS138 Rep2 Average",4.17799438917211,3.49879436039903
"BG2 Rep1 Average",6.35550384335193,4.11632779059132
"BG2 Rep2 Average",4.63403603538052,3.59265088221534
